lon,lat,dif_rad,leaf_ai,rel_humidity,seasonality,hot_mean,dry_avg
-155.387319,19.500421,83.26480103,0.175664693,68.24772644,4093.819336,19.67177963,157.9165039
-155.384861,19.494482,84.28587341,0.420254409,70.24926758,4219.129395,20.02406311,168.7749329
-155.384598,19.49465,84.28587341,0.420254409,70.24926758,4219.129395,20.02406311,168.7749329
-155.384534,19.49438,84.28587341,0.420254409,70.24926758,4219.129395,20.02406311,168.7749329
-155.383333,19.5,83.6537323,0.124680899,69.0335083,4278.29834,19.83306313,167.1248016
-155.367416,19.368828,92.94756317,1.338161945,86.31581879,6274.197754,24.63092613,227.8665924
-155.335084,19.401849,89.65344238,0.995904505,85.99944305,5997.513184,24.30686951,205.1741943
-155.316667,19.349999,93.33571625,0,86.3168869,8861.800781,24.04781532,280.433197
-155.3,19.4,92.19975281,0,85.61081696,6094.253418,23.62349701,199.7882233
-155.279083,19.343184,90.63617706,2.102586985,86.27757263,8098.898926,23.85165405,257.364624
-159.636505,22.025268,90.30068207,0.400160193,82.89927673,3921.289063,27.6014595,114.3557739
-156.2525,20.76971,98.42249298,0.81266278,72.54711151,5015.240723,18.57201958,159.6864624
-156.215783,20.755667,96.45041656,1.183751941,64.77337646,5928.525879,16.7767067,202.9129028
-156.2007,20.728485,75.37516022,0,66.73568726,5741.273926,17.80615234,177.4281921
-156.198163,20.754747,97.93540192,0.125333801,71.9801712,6173.254883,17.85144424,251.0756683
-155.451056,19.735944,76.40435791,0.437103808,59.05789185,2876.578613,18.74622726,95.54973602
-155.319613,19.44635,88.06371307,1.02086401,83.66262817,6360.378906,23.0332222,233.0572357
-155.280519,19.406031,92.98995209,0,86.13703156,5990.208496,24.24653816,199.2126617
-155.7705005,19.16030298,100.7070007,1.590425014,82.75469971,1215.299072,21.81110764,79.68321228
-155.7722194,19.16484444,100.8005981,1.346650958,82.0381012,1156.268921,21.52943611,78.93601227
