species,long,lat
sciurus_aberti,-105.055514,23.642144
sciurus_aberti,-106.040836,24.371876
sciurus_aberti,-104.980705,23.609985000000002
sciurus_aberti,-104.960592,23.448638
sciurus_aberti,-105.411963,23.623626
sciurus_aberti,-105.741285,23.762114
sciurus_aberti,-104.863176,23.351637
sciurus_aberti,-105.866649,24.459958
sciurus_aberti,-105.026251,23.896785
sciurus_aberti,-105.549444,24.09594766
sciurus_aberti,-105.6780922,23.7315905
sciurus_aberti,-104.8934,23.301186
sciurus_aberti,-105.433093,23.760513
sciurus_aberti,-105.055488,23.642048
sciurus_aberti,-104.980545,23.610068
sciurus_aberti,-104.978245,23.461199
sciurus_aberti,-105.503086,23.7159
sciurus_aberti,-105.455044,23.674268
sciurus_aberti,-104.5363213,23.70136735
sciurus_aberti,-105.368009,23.769777
sciurus_aberti,-105.502256,23.715759
sciurus_aberti,-108.206793,28.162813
sciurus_aberti,-105.1594534,27.71635643
sciurus_aberti,-108.227577,29.282389
sciurus_aberti,-108.394901,28.606762
sciurus_aberti,-108.212615,29.3234
sciurus_aberti,-108.201465,29.327827
sciurus_aberti,-108.271929,28.635431
sciurus_aberti,-108.212616,29.323401
sciurus_aberti,-108.108877,29.306174
sciurus_aberti,-108.2624742,29.74397199
sciurus_aberti,-108.302741,29.805229
sciurus_aberti,-108.2941283,29.80275483
sciurus_aberti,-108.20147,29.32781
sciurus_aberti,-106.998425,25.932421
sciurus_aberti,-108.212428,29.322989
sciurus_aberti,-108.240512,29.248939
sciurus_aberti,-108.219755,28.312354
sciurus_aberti,-108.212619,29.323408
sciurus_aberti,-107.639436,28.183572
sciurus_aberti,-108.264204,29.746163
sciurus_aberti,-108.3333,29.91071
sciurus_aberti,-110.7558,32.42762
sciurus_aberti,-110.708056,32.390267
sciurus_aberti,-110.785675,32.440559
sciurus_aberti,-106.242973,34.937841
sciurus_aberti,-110.859621,33.297575
sciurus_aberti,-107.6685788,33.33565328
sciurus_aberti,-110.699092,32.393267
sciurus_aberti,-109.9606,33.8383
sciurus_aberti,-112.159844,34.715892
sciurus_aberti,-110.716737,32.414655
sciurus_aberti,-107.1697,34.011469
sciurus_aberti,-107.183328,33.985215
sciurus_aberti,-105.7864552,34.90140935
sciurus_aberti,-112.404399,34.368172
sciurus_aberti,-110.867014,34.218156
sciurus_aberti,-110.705497,32.390794
sciurus_aberti,-110.770647,32.447124
sciurus_aberti,-110.796294,32.469467
sciurus_aberti,-110.786247,32.441488
sciurus_aberti,-110.759303,32.43851
sciurus_aberti,-110.029833,34.254208
sciurus_aberti,-106.39417,35.095314
sciurus_aberti,-113.904443,35.09109
sciurus_aberti,-104.955546,37.920248
sciurus_aberti,-106.43306,35.198059
sciurus_aberti,-111.543532,35.369077
sciurus_aberti,-106.376667,35.176389
sciurus_aberti,-111.730986,35.139354
sciurus_aberti,-105.245609,39.700894
sciurus_aberti,-107.6842911,35.24918269
sciurus_aberti,-106.970279,37.320525
sciurus_aberti,-112.239075,36.679629
sciurus_aberti,-106.652132,37.672208
sciurus_aberti,-104.525233,39.076999
sciurus_aberti,-105.1596,38.886237
sciurus_aberti,-106.609684,35.724538
sciurus_aberti,-111.640709,35.208355
sciurus_aberti,-111.73091,35.160305
sciurus_aberti,-106.3813269,35.11129104
sciurus_aberti,-106.385311,35.128183
sciurus_aberti,-112.166719,36.415066
sciurus_aberti,-106.384997,35.127969
sciurus_aberti,-105.386809,40.145347
sciurus_aberti,-105.237243,40.361629
sciurus_aberti,-105.196946,40.583969
sciurus_aberti,-105.535792,40.201529
sciurus_aberti,-105.569964,40.341033
sciurus_aberti,-105.329513,40.575567
sciurus_aberti,-105.242133,40.989668
sciurus_aberti,-105.300163,40.1679
sciurus_aberti,-105.610113,40.370104
sciurus_aberti,-105.32023,40.059288
sciurus_aberti,-105.581097,40.34527
sciurus_aberti,-105.343545,40.228611
sciurus_aberti,-105.307388,40.162608
sciurus_aberti,-105.573376,40.398443
sciurus_aberti,-105.587192,40.360144
sciurus_aberti,-105.573605,40.343428
sciurus_aberti,-105.500548,40.151211000000004
sciurus_aberti,-105.590643,40.360289
sciurus_aberti,-105.300231,40.158982
sciurus_aberti,-105.581001,40.7001
sciurus_aberti,-105.5956,40.3759
