"long","lat","bio1","bio12"
-75.6874999997265,-13.0625000002055,5.29233312606812,609
-68.5208333330025,-27.9375000003245,4.85650014877319,107
-75.0208333330545,-14.2708333335485,14.1073303222656,202
-76.3124999997315,-12.4375000002005,9.698166847229,355
-69.4791666663435,-17.1041666669045,6.19950008392334,462
-68.8124999996715,-20.6041666669325,4.04533290863037,77
-67.3124999996595,-22.0625000002775,5.47616720199585,91
-68.1041666663325,-19.1875000002545,7.67866706848145,180
-71.9791666663635,-14.6875000002185,6.23649978637695,857
-68.9374999996725,-25.8125000003075,9.36149978637695,25
-68.3541666663345,-20.9375000002685,5.43800020217896,74
-66.5624999996535,-25.6875000003065,7.67866706848145,135
-71.1874999996905,-14.8125000002195,6.16616678237915,834
-74.2291666663815,-14.9375000002205,15.2416696548462,185
-73.7708333330445,-13.8541666668785,11.8854999542236,859
-74.4791666663835,-14.5625000002175,6.14066600799561,661
-66.4791666663195,-22.3541666669465,9.54749965667725,150
-66.5208333329865,-22.3958333336135,9.08683300018311,145
-67.4791666663275,-25.6041666669725,6.13833284378052,73
-76.6458333330675,-9.6458333335115,6.87833404541016,974
-67.4374999996605,-20.5208333335985,7.82533311843872,154
-73.2708333330405,-15.5625000002255,7.54483318328857,389
-68.3541666663345,-26.7708333336485,-0.222666695713997,100
-68.1874999996665,-20.8541666669345,4.50616598129272,85
-69.2291666663415,-16.9791666669035,8.73316669464111,509
-69.0208333330065,-20.6875000002665,8.78283309936523,45
-71.5624999996935,-15.3125000002235,2.38700008392334,757
-69.1041666663405,-27.2708333336525,1.57383298873901,84
-70.1041666663485,-14.3125000002155,6.45333290100098,749
-68.5208333330025,-18.9791666669195,7.02750015258789,205
-73.7291666663775,-13.5625000002095,11.6339998245239,910
-68.4374999996685,-25.7708333336405,4.76566696166992,49
-70.8958333330215,-16.5625000002335,3.25716710090637,435
-66.5208333329865,-22.0208333336105,7.07016706466675,151
-67.8958333329975,-22.6041666669485,0.593000113964081,87
-68.2291666663335,-17.3958333335735,8.71599960327148,416
-70.1458333330155,-14.9791666668875,8.54666614532471,697
-69.6458333330115,-17.5625000002415,5.41099977493286,305
-67.8541666663305,-22.4791666669475,2.42700004577637,76
-77.3958333330735,-9.1458333335075,10.3715000152588,696
-66.8958333329895,-21.2291666669375,9.26483345031738,115
-74.1041666663805,-15.4375000002245,11.4250001907349,228
-71.1458333330235,-14.5625000002175,5.03766584396362,864
